tiempo_id,lugar_id,arma_id,tipo_id,victimas,costo
10_01/01/20,15,1,4,2,94861
10_08/01/20,15,1,4,2,94861
10_15/01/20,15,1,4,2,94861
10_22/01/20,15,1,4,2,94861
10_29/01/20,15,1,4,2,94861
10_01/01/20,29,1,4,0,21418
10_08/01/20,29,1,4,0,21418
10_15/01/20,29,1,4,0,21418
10_22/01/20,29,1,4,0,21418
10_29/01/20,29,1,4,0,21418
10_01/01/20,499,1,4,4,92782
10_08/01/20,499,1,4,4,92782
10_15/01/20,499,1,4,4,92782
10_22/01/20,499,1,4,4,92782
10_29/01/20,499,1,4,4,92782
10_01/01/20,538,1,4,2,90793
10_08/01/20,538,1,4,2,90793
10_15/01/20,538,1,4,2,90793
10_22/01/20,538,1,4,2,90793
10_29/01/20,538,1,4,2,90793
10_01/01/20,974,1,4,0,25104
10_08/01/20,974,1,4,0,25104
10_15/01/20,974,1,4,0,25104
10_22/01/20,974,1,4,0,25104
10_29/01/20,974,1,4,0,25104
10_01/01/20,4037,1,4,1,94873
10_08/01/20,4037,1,4,1,94873
10_15/01/20,4037,1,4,1,94873
10_22/01/20,4037,1,4,1,94873
10_29/01/20,4037,1,4,1,94873
10_01/01/20,2479,1,4,5,94345
10_08/01/20,2479,1,4,5,94345
10_15/01/20,2479,1,4,5,94345
10_22/01/20,2479,1,4,5,94345
10_29/01/20,2479,1,4,5,94345
10_01/01/20,6015,1,4,2,75145
10_08/01/20,6015,1,4,2,75145
10_15/01/20,6015,1,4,2,75145
10_22/01/20,6015,1,4,2,75145
10_29/01/20,6015,1,4,2,75145
10_01/01/20,6072,1,4,4,4623
10_08/01/20,6072,1,4,4,4623
10_15/01/20,6072,1,4,4,4623
10_22/01/20,6072,1,4,4,4623
10_29/01/20,6072,1,4,4,4623
10_01/01/20,7729,1,4,0,64260
10_08/01/20,7729,1,4,0,64260
10_15/01/20,7729,1,4,0,64260
10_22/01/20,7729,1,4,0,64260
10_29/01/20,7729,1,4,0,64260
10_01/01/20,7757,1,4,0,80396
10_08/01/20,7757,1,4,0,80396
10_15/01/20,7757,1,4,0,80396
10_22/01/20,7757,1,4,0,80396
10_29/01/20,7757,1,4,0,80396
22_01/01/20,4177,1,4,4,80418
