barrio,comuna,latitud,longitud,id
Versalles,10.0,-34.626641,-58.527606,1
Villa Devoto,11.0,-34.611268,-58.525386,2
Versalles,10.0,-34.625434,-58.525013,3
Villa Devoto,11.0,-34.606789,-58.520726,4
Mataderos,9.0,-34.655199,-58.514301,5
Villa Luro,10.0,-34.627631,-58.513364,6
Monte Castro,10.0,-34.621312,-58.51289,7
Mataderos,9.0,-34.659029,-58.510638,8
Villa Devoto,11.0,-34.589594,-58.509538,9
Villa Devoto,11.0,-34.60425,-58.509191,10
Villa Devoto,11.0,-34.599787,-58.509188,11
Mataderos,9.0,-34.654145,-58.5091,12
Mataderos,9.0,-34.654173,-58.507621,13
Mataderos,9.0,-34.655044,-58.506496,14
Villa Urquiza,12.0,-34.569467,-58.505272,15
Monte Castro,10.0,-34.611679,-58.504407,16
Villa Luro,10.0,-34.639229,-58.5034,17
Vélez Sársfield,10.0,-34.624019,-58.502481,18
Mataderos,9.0,-34.663806,-58.501785,19
Mataderos,9.0,-34.67398,-58.501639,20
Saavedra,12.0,-34.552046,-58.500649,21
Mataderos,9.0,-34.671922,-58.500072,22
Agronomía,15.0,-34.593679,-58.498541,23
Villa Lugano,8.0,-34.67673,-58.496396,24
Villa Del Parque,11.0,-34.601456,-58.49416,25
Villa Lugano,8.0,-34.671294,-58.490546,26
Parque Avellaneda,9.0,-34.647116,-58.489872,27
Villa Lugano,8.0,-34.677872,-58.487834,28
Floresta,10.0,-34.625617,-58.487251,29
Villa Lugano,8.0,-34.671479,-58.48589,30
Saavedra,12.0,-34.550264,-58.485759,31
Villa Urquiza,12.0,-34.572344,-58.484832,32
Villa Del Parque,11.0,-34.601164,-58.484168,33
Parque Avellaneda,9.0,-34.642021,-58.483255,34
Villa Urquiza,12.0,-34.571972,-58.482766,35
Villa Lugano,8.0,-34.670833,-58.4817,36
Floresta,10.0,-34.632072,-58.480967,37
Saavedra,12.0,-34.552912,-58.480004,38
Villa Urquiza,12.0,-34.565882,-58.479528,39
Saavedra,12.0,-34.544368,-58.479453,40
Villa Del Parque,11.0,-34.604973,-58.478891,41
Villa Santa Rita,11.0,-34.621529,-58.47872,42
Saavedra,12.0,-34.541779,-58.477918,43
Parque Avellaneda,9.0,-34.655691,-58.477789,44
Villa Santa Rita,11.0,-34.618643,-58.477447,45
Parque Avellaneda,9.0,-34.659248,-58.477042,46
Floresta,10.0,-34.630762,-58.476378,47
Paternal,15.0,-34.59721,-58.475945,48
Nuñez,13.0,-34.539707,-58.475075,49
Villa Lugano,8.0,-34.661996,-58.475019,50
Villa Gral. Mitre,11.0,-34.610283,-58.475009,51
Parque Avellaneda,9.0,-34.661008,-58.473993,52
Parque Avellaneda,9.0,-34.658777,-58.473219,53
Parque Avellaneda,9.0,-34.658801,-58.472782,54
Coghlan,12.0,-34.565108,-58.470986,55
Nuñez,13.0,-34.554091,-58.470705,56
Nuñez,13.0,-34.545213,-58.470655,57
Nuñez,13.0,-34.544921,-58.470326,58
Nuñez,13.0,-34.544207,-58.470068,59
Flores,7.0,-34.631163,-58.467998,60
Villa Lugano,8.0,-34.675526,-58.467652,61
Parque Avellaneda,9.0,-34.651176,-58.467398,62
Parque Avellaneda,9.0,-34.646137,-58.466886,63
Villa Lugano,8.0,-34.686503,-58.462955,64
Flores,7.0,-34.619966,-58.462917,65
Flores,7.0,-34.628893,-58.462575,66
Nuñez,13.0,-34.549862,-58.461428,67
Paternal,15.0,-34.602217,-58.461061,68
Flores,7.0,-34.636309,-58.460928,69
Flores,7.0,-34.618622,-58.460229,70
Nuñez,13.0,-34.547578,-58.460021,71
Chacarita,15.0,-34.579735,-58.459784,72
Belgrano,13.0,-34.569614,-58.459185,73
Flores,7.0,-34.641309,-58.458681,74
Flores,7.0,-34.626536,-58.4582,75
Chacarita,15.0,-34.581995,-58.457464,76
Nuñez,13.0,-34.550009,-58.456846,77
Flores,7.0,-34.636139,-58.456032,78
Villa Soldati,8.0,-34.66455,-58.455756,79
Caballito,6.0,-34.620256,-58.455326,80
Belgrano,13.0,-34.565551,-58.455211,81
Chacarita,15.0,-34.587392,-58.455128,82
Belgrano,13.0,-34.565387,-58.455033,83
Flores,7.0,-34.641647,-58.452977,84
Chacarita,15.0,-34.582092,-58.451852,85
Chacarita,15.0,-34.592487,-58.451782,86
Parque Chacabuco,7.0,-34.631652,-58.451102,87
Belgrano,13.0,-34.54693,-58.450449,88
Chacarita,15.0,-34.583604,-58.449849,89
Villa Soldati,8.0,-34.659589,-58.449762,90
Flores,7.0,-34.647244,-58.449219,91
Villa Crespo,15.0,-34.601686,-58.447647,92
Parque Chacabuco,7.0,-34.637378,-58.447205,93
Palermo,14.0,-34.568436,-58.446577,94
Belgrano,13.0,-34.558212,-58.445486,95
Chacarita,15.0,-34.584513,-58.444788,96
Colegiales,13.0,-34.573985,-58.443879,97
Villa Soldati,8.0,-34.659576,-58.442772,98
Parque Chacabuco,7.0,-34.635863,-58.441865,99
Caballito,6.0,-34.620868,-58.44183,100
Parque Chacabuco,7.0,-34.629683,-58.441318,101
Parque Chacabuco,7.0,-34.629749,-58.441267,102
Parque Chacabuco,7.0,-34.640867,-58.441205,103
Villa Crespo,15.0,-34.595216,-58.441191,104
Villa Crespo,15.0,-34.601021,-58.440459,105
Caballito,6.0,-34.628409,-58.437136,106
Caballito,6.0,-34.60647,-58.43577,107
Villa Soldati,8.0,-34.662026,-58.435196,108
Villa Crespo,15.0,-34.601265,-58.434879,109
Parque Chacabuco,7.0,-34.642205,-58.434682,110
Villa Soldati,8.0,-34.661006,-58.43345,111
Villa Crespo,15.0,-34.60063,-58.431999,112
Palermo,14.0,-34.578649,-58.431961,113
Villa Crespo,15.0,-34.594326,-58.431811,114
Almagro,5.0,-34.601373,-58.431459,115
Nueva Pompeya,4.0,-34.643992,-58.431202,116
Palermo,14.0,-34.588628,-58.430327,117
Almagro,5.0,-34.603735,-58.428821,118
Nueva Pompeya,4.0,-34.650996,-58.428799,119
Caballito,6.0,-34.626546,-58.428251,120
Palermo,14.0,-34.591428,-58.428037,121
Boedo,5.0,-34.624302,-58.427245,122
Nueva Pompeya,4.0,-34.656467,-58.426532,123
Villa Crespo,15.0,-34.597477,-58.426325,124
Villa Crespo,15.0,-34.597323,-58.426303,125
Almagro,5.0,-34.610569,-58.424486,126
Parque Chacabuco,7.0,-34.63933,-58.424446,127
Nueva Pompeya,4.0,-34.650847,-58.423061,128
Palermo,14.0,-34.594242,-58.422937,129
Almagro,5.0,-34.611979,-58.421108,130
Palermo,14.0,-34.585327,-58.421084,131
Nueva Pompeya,4.0,-34.646924,-58.421062,132
Palermo,14.0,-34.570417,-58.420918,133
Palermo,14.0,-34.582816,-58.420692,134
Almagro,5.0,-34.60971,-58.419918,135
Palermo,14.0,-34.56553,-58.419832,136
Almagro,5.0,-34.615799,-58.417458,137
Almagro,5.0,-34.605794,-58.415591,138
Palermo,14.0,-34.581748,-58.414231,139
Palermo,14.0,-34.576048,-58.413329,140
Almagro,5.0,-34.603119,-58.413244,141
Almagro,5.0,-34.613692,-58.413075,142
Balvanera,3.0,-34.604079,-58.411765,143
Recoleta,2.0,-34.593224,-58.411653,144
Balvanera,3.0,-34.603955,-58.410672,145
Nueva Pompeya,4.0,-34.65439,-58.410048,146
Recoleta,2.0,-34.591668,-58.409949,147
Palermo,14.0,-34.577281,-58.409869,148
Parque Patricios,4.0,-34.640844,-58.408918,149
Palermo,14.0,-34.582849,-58.408207,150
Palermo,14.0,-34.567268,-58.407866,151
Balvanera,3.0,-34.607799,-58.407351,152
Balvanera,3.0,-34.603068,-58.407305,153
Palermo,14.0,-34.578682,-58.40692,154
Recoleta,2.0,-34.595385,-58.406687,155
Balvanera,3.0,-34.613647,-58.406428,156
Balvanera,3.0,-34.614799,-58.4062,157
Parque Patricios,4.0,-34.641247,-58.405996,158
Parque Patricios,4.0,-34.639536,-58.405733,159
Balvanera,3.0,-34.615823,-58.40456,160
Parque Patricios,4.0,-34.642715,-58.404539,161
Balvanera,3.0,-34.614675,-58.404092,162
Balvanera,3.0,-34.604749,-58.403636,163
San Cristóbal,3.0,-34.623939,-58.403481,164
San Cristóbal,3.0,-34.618853,-58.402458,165
Balvanera,3.0,-34.616705,-58.402059,166
Balvanera,3.0,-34.603537,-58.400951,167
Barracas,4.0,-34.654378,-58.400778,168
Barracas,4.0,-34.651002,-58.400127,169
San Cristóbal,3.0,-34.618679,-58.399898,170
Parque Patricios,4.0,-34.636571,-58.398542,171
Balvanera,3.0,-34.60723,-58.39847,172
Recoleta,2.0,-34.588525,-58.397765,173
Parque Patricios,4.0,-34.635647,-58.397438,174
Balvanera,3.0,-34.600928,-58.396288,175
Recoleta,2.0,-34.593404,-58.395696,176
Balvanera,3.0,-34.605853,-58.395148,177
San Cristóbal,3.0,-34.619527,-58.394503,178
Recoleta,2.0,-34.58563,-58.39365,179
Recoleta,2.0,-34.583292,-58.392374,180
Balvanera,3.0,-34.604692,-58.392373,181
San Nicolás,1.0,-34.605102,-58.392142,182
Balvanera,3.0,-34.610339,-58.391882,183
San Nicolás,1.0,-34.609099,-58.390394,184
Parque Patricios,4.0,-34.636774,-58.390258,185
Recoleta,2.0,-34.594371,-58.390108,186
San Nicolás,1.0,-34.604909,-58.389409,187
Barracas,4.0,-34.65384,-58.388802,188
Constitución,1.0,-34.620384,-58.387334,189
Recoleta,2.0,-34.594741,-58.387323,190
Constitución,1.0,-34.627116,-58.387188,191
Retiro,1.0,-34.578238,-58.385618,192
San Nicolás,1.0,-34.601678,-58.385367,193
Constitución,1.0,-34.61858,-58.383568,194
Constitución,1.0,-34.61919,-58.382934,195
